intro:翻译：正天罡;
 -vol3/18.ogg -next;
要是同好会的话。 -vol3/77.ogg;
虽然会有种只会聚集喜欢女仆的人的感觉…… -vol3/78.ogg;
嗯……确实，感觉会聚集一帮男人制作女仆手办的样子。 -vol3/79.ogg;
但是！是的！要是能够聚集想要当女仆的人。 -vol3/80.ogg;
安洁觉得很有魅力！ -vol3/81.ogg;
想要传达从妈妈那里教会的东西这一安洁的愿望。 -vol3/82.ogg;
这个形式的话也更容易去实现。 -vol3/83.ogg;
对于组织改善委员会也是很有魅力的事情呢……。 -vol3/84.ogg;
如果创建了这种存在的话。 -vol3/85.ogg;
活动内容的一部分还能帮到学生会。 -vol3/86.ogg;
哦，原来如此啊。 -vol3/87.ogg;
这样的话还能保持学生们的自主性，人手也…… -vol3/88.ogg;
啊，要是能以增加安洁就能结束的话。 -vol3/89.ogg;
对对，在此之上要是能实现的话。 -vol3/90.ogg;
将来就算安洁毕业了，也能维持这个体制。 -vol3/91.ogg;
就算没有安洁也能毫不延误运营下去。 -vol3/92.ogg;
这也是委员会的目的。 -vol3/93.ogg;
增加安洁这个方法虽然很单纯。 -vol3/94.ogg;
但却是最简单快捷的解决方法呢。 -vol3/95.ogg;
嗯，这倒是没想过。 -vol3/96.ogg;
这真是！这可真是！大事件啊纱酱小姐！ -vol3/97.ogg;
啊啊啊，虽然我也不太懂详细的事情。 -vol3/98.ogg;
简单来说。 -vol3/99.ogg;
创建安洁主持的自愿性的女仆见习部队。 -vol3/100.ogg;
那种感觉吗？ -vol3/101.ogg;
正是这样！也就是说！也就是说！ -vol3/102.ogg;
女仆部？ -vol3/103.ogg;
是的！主人！女仆部的设立！来认真想一下吧。 -vol3/104.ogg;
那首先还得和八冢老师商量一下呢！ -vol3/105.ogg;
原来如此，真不愧是有经验的，说的就是不一样。 -vol3/106.ogg;
真是让人信服的建议！ -vol3/107.ogg;
倒不如说，突然过来打扰到社团活动真是抱歉前辈。 -vol3/108.ogg;
没什么，不用在意那种事情。 -vol3/109.ogg;
你们两个来玩大家很开心。 -vol3/110.ogg;
是吧帕喵酱。 -vol3/111.ogg;
谢谢！！安洁很是感激。 -vol3/112.ogg;
那么首先先去说服我们的女帝兰华小姐。 -vol3/113.ogg;
安洁我们就…… -vol3/114.ogg;
啊，要去学园长室的话我也陪你们去。 -vol3/115.ogg;
欸？可以吗？ -vol3/116.ogg;
嗯，作为被商量的一方果然还是会在意的。 -vol3/117.ogg;
不如说希望能一起去呢。 -vol3/118.ogg;
好的！那当然非常欢迎！ -vol3/119.ogg;
那社团的事情就先拜托纱凪酱了。 -vol3/120.ogg;
那个邮件邮件。 -vol3/121.ogg;
之后会被乾桑抱怨吧…… -vol3/122.ogg;
“你竟然从社团将前辈夺走了！”之类的……	。 -vol3/123.ogg;
教唆安洁的是纱酱小姐。 -vol3/124.ogg;
这种程度得让她让步才行。 -vol3/125.ogg;
好了ok那么走吧。 -vol3/126.ogg;
诶？小帕喵要看家吗？ -vol3/127.ogg;
这样啊，纱凪酱有帕喵酱跟着呢~ -vol3/128.ogg;
真是想不到是动物的关怀。 -vol3/129.ogg;
安洁一生都不用会忘记这份恩情！ -vol3/130.ogg;
谢谢啦，帕喵，那我们先走了。 -vol3/131.ogg;
进来。 -vol3/132.ogg;
失礼了兰华小姐，安洁有事情要…… -vol3/133.ogg;
诶？ -vol3/134.ogg;
诶呀时机真巧啊。 -vol3/135.ogg;
倒是省了工夫了。 -vol3/136.ogg;
啊？……诶？ -vol3/137.ogg;
怎么了菜夏酱诶？ -vol3/138.ogg;
抱歉了学园长，正在招待客……？ -vol3/139.ogg;
女仆小姐？ -vol3/140.ogg;
而且是外国的…… -vol3/141.ogg;
安……安洁？ -vol3/142.ogg;
菜夏酱难道说…… -vol3/143.ogg;
母…… -vol3/144.ogg;
母亲大人！！！ -vol3/145.ogg;
是妈妈！是妈妈的说！啊啊啊啊啊母亲大人。 -vol3/146.ogg;
是。 -vol3/147.ogg;
果然是这样啊光看都觉得是菜夏的母亲呢。 -vol3/148.ogg;
是啊……是外国人还是女仆小姐。 -vol3/149.ogg;
虽然就这样也不一定…… -vol3/150.ogg;
嗯，和菜夏酱不一样很苗条，有点让人不能肯定呢。 -vol3/151.ogg;
真的很怀念！很久没见了。 -vol3/152.ogg;
是呢大概两年没见了。 -vol3/153.ogg;
啊，这个又帅气又性感的眼神。 -vol3/154.ogg;
是母亲大人！毫无疑问是安洁的母亲大人！ -vol3/155.ogg;
你在怀疑我吗？ -vol3/156.ogg;
没有没有，您完全没变的样子，再加上突然前来。 -vol3/157.ogg;
安洁备受惊讶但是非常的感激！ -vol3/158.ogg;
性……性格也不怎么像呢。 -vol3/159.ogg;
嗯……完全相反的感觉呢。 -vol3/160.ogg;
我还想象安洁的母亲会是和气洋洋开朗的人来着呢。 -vol3/161.ogg;
埃莉……然后哦那边的两个人啊…… -vol3/162.ogg;
我已经知道了，一眼就懂了。 -vol3/163.ogg;
安洁先等一下。 -vol3/164.ogg;
好好的！ -vol3/165.ogg;
你就是结子家的大小姐吧。 -vol3/166.ogg;
诶？啊，是的天羽美羽。 -vol3/167.ogg;
然后你就是……瓜生新吾先生。 -vol3/168.ogg;
是的。 -vol3/169.ogg;
初次见面我叫埃莉诺·史威尔。 -vol3/170.ogg;
都已经不用说了吧是安洁的母亲。 -vol3/171.ogg;
虽然和女儿不同是个平胸可能让你们吓一跳。 -vol3/172.ogg;
和那个有关系吗？兰华。 -vol3/173.ogg;
不要瞪我呀埃莉只是个小玩笑嘛。 -vol3/174.ogg;
是呢真让人愉快呢。 -vol3/175.ogg;
居然和学园长势均力敌……	。 -vol3/176.ogg;
真不愧是！真不愧是你母亲大人！ -vol3/177.ogg;
真是抱歉让你带路。 -vol3/178.ogg;
不不，毕竟要住在我家，是地图都没给的妈妈的不好。 -vol3/179.ogg;
虽然错过和兰华小姐说话的时机了，啊哈哈。 -vol3/180.ogg;
嘛，但是，既然变成这么个展开了。 -vol3/181.ogg;
就只能暂时先放到一边了。 -vol3/182.ogg;
是啊……但是母亲大人！ -vol3/183.ogg;
没想到您还和美羽小姐的母亲大人也认识。 -vol3/184.ogg;
安洁又震惊了。 -vol3/185.ogg;
到底是什么样的关系呢？ -vol3/186.ogg;
你的母亲和兰华和我，是结女的同级生。 -vol3/187.ogg;
令人冲击的事实现在在此公开！ -vol3/188.ogg;
诶不知道呢这样啊。 -vol3/189.ogg;
住在天羽前辈的家里这种事。 -vol3/190.ogg;
刚才听到的时候说实话真觉得是奇怪的展开。 -vol3/191.ogg;
但是这么回事的话就可以理解了。 -vol3/192.ogg;
嗯，那我们就是母子两代的交往了呢~ -vol3/193.ogg;
是的呢再加上爱理小姐。 -vol3/194.ogg;
包含爱理小姐在内今后也请一直多多指教之类的~ -vol3/195.ogg;
不过原本和兰华在毕业后也一直频繁交流。 -vol3/196.ogg;
但是和结子今天是时隔许久的再见了。 -vol3/197.ogg;
啊所以母亲才说那就住我家吧。 -vol3/198.ogg;
抱歉，母亲这这些地方真的很强硬。 -vol3/199.ogg;
我已经习惯了她以前就是这样。 -vol3/200.ogg;
真是让人感受到历史的厚重的一句话！ -vol3/201.ogg;
总觉得听着真帅呢！主人。 -vol3/202.ogg;
安洁你们也不能输呢。 -vol3/203.ogg;
是的！ -vol3/204.ogg;
但是…… -vol3/205.ogg;
什么事？新吾先生。 -vol3/206.ogg;
啊没事安洁的母亲您也是一直穿着女仆服呢。 -vol3/207.ogg;
该说真不愧是一家子吗还是…… -vol3/208.ogg;
叫我埃莉就行因为是女仆。 -vol3/209.ogg;
呵…… -vol3/210.ogg;
怎么了……？ -vol3/211.ogg;
啊没什么失礼了。 -vol3/212.ogg;
安洁也经常这样，下意识就笑了。 -vol3/213.ogg;
越来越觉得不愧是是安洁的母亲了。 -vol3/214.ogg;
这样吗。 -vol3/215.ogg;
话说回来母亲大人！这次您为什么来日本呢？ -vol3/216.ogg;
因为久违得到了休假。 -vol3/217.ogg;
原来如此原来如此！ -vol3/218.ogg;
那父亲还和以前一样吗？还精神吗？ -vol3/219.ogg;
那是当然的，有我在他身边服务着。 -vol3/220.ogg;
呀！真是充满作为女仆的自信和骄傲的言语。 -vol3/221.ogg;
母亲大人真的是越来越帅了！ -vol3/222.ogg;
安洁的眼泪要停不下来了！ -vol3/223.ogg;
关系真好呢，菜夏酱真的最喜欢母亲啊。 -vol3/224.ogg;
是呢。 -vol3/225.ogg;
不能吃醋哦，瓜生君。 -vol3/226.ogg;
不不会吃醋的啦。 -vol3/227.ogg;
母亲~埃莉小姐已经来了哦。 -vol3/228.ogg;
仔细想一下我也是第一次见天羽前辈的母亲呢。 -vol3/229.ogg;
安洁也是初次见面！美羽小姐的母亲大人。 -vol3/230.ogg;
到底是个什么样的人呢？ -vol3/231.ogg;
从现在开始心中就已经期待起来了。 -vol3/232.ogg;
是这样的女性。 -vol3/233.ogg;
嗯哼初次见面。 -vol3/234.ogg;
啊啊啊啊啊。 -vol3/235.ogg;
嗯呵呵，竟然这么开心。 -vol3/236.ogg;
不是……要说是开心不如说是…… -vol3/237.ogg;
突然胸部挤上来了吓了一跳…… -vol3/238.ogg;
不开心吗我明明努力挤上去了。 -vol3/239.ogg;
啊啊不是的那个是的…… -vol3/240.ogg;
到底在做什么总而言之安洁吓死了。 -vol3/241.ogg;
结子，努力挤上去有点…… -vol3/242.ogg;
啊啦啊啦还是老样子呢埃莉小姐。 -vol3/243.ogg;
总而言之等着你们呢。 -vol3/244.ogg;
承蒙照顾了。 -vol3/245.ogg;
啊，母亲要给您添麻烦了我是女儿安洁莉娜。 -vol3/246.ogg;
啊啦啊啦真是的…… -vol3/247.ogg;
真让人想不到是埃莉小姐家的大小姐。 -vol3/248.ogg;
真是优秀的女儿呢。 -vol3/249.ogg;
请不要看着我身体的一部分说这些。 -vol3/250.ogg;
真是的母亲你竟然在这种地方。 -vol3/251.ogg;
美羽才是，抛下埃莉小姐去哪里了	。 -vol3/252.ogg;
什么哪里？ -vol3/253.ogg;
真是抱歉啊埃莉小姐。 -vol3/254.ogg;
真是连带路都没法做到满意的不聪明的女儿。 -vol3/255.ogg;
哪有是很优秀的大小姐。 -vol3/256.ogg;
是啊这点像我。 -vol3/257.ogg;
是呢，多管闲事这方面。 -vol3/258.ogg;
主人……人外有人天外有天呢。 -vol3/259.ogg;
是……居然有连天羽前辈都会被牵着鼻子走的母亲在…… -vol3/260.ogg;
然后能轻松跟上那个结子小姐的安洁的母亲…… -vol3/261.ogg;
安洁除了再次觉得真不愧是母亲之外什么都没法说。 -vol3/262.ogg;
啊……总而言之这样就行了吧？ -vol3/263.ogg;
瓜生君和菜夏酱谢谢了。 -vol3/264.ogg;
我也是，多谢了。 -vol3/265.ogg;
啊没事的没事的。 -vol3/266.ogg;
那么母亲……那个…… -vol3/267.ogg;
明天会正式去打招呼的。 -vol3/268.ogg;
啊好的！ -vol3/269.ogg;
那么就先暂借你的母亲了。 -vol3/270.ogg;
下次就正常来玩吧。 -vol3/271.ogg;
再见啦你们两个。 -vol3/272.ogg;
美羽也是可以回去了哦。 -vol3/273.ogg;
我家就在这里啊。 -vol3/274.ogg;
就是这样现在母亲在美羽小姐的家里。 -vol3/275.ogg;
嗯……竟然发生了这么愉快的事情…… -vol3/276.ogg;
就是说！安洁吓死了还以为肚子要拧在一起了。 -vol3/277.ogg;
啊哈哈哈说笑的。 -vol3/278.ogg;
安洁的母亲来到了日本…… -vol3/279.ogg;
其实是来见安洁的吧？ -vol3/280.ogg;
确实，要说的话说的也没问题。 -vol3/281.ogg;
“明天会正式来打招呼的”说了这样的话。 -vol3/282.ogg;
打招呼什么的……会很紧张呢。 -vol3/283.ogg;
这边想要报告的事情堆成山了！ -vol3/284.ogg;
嗯！您的女儿请由我收下！之类的事情呢。 -vol3/285.ogg;
呀~讨厌啦讨厌啦。 -vol3/286.ogg;
母亲大人真是抱歉安洁早就被老爷抱啦~ -vol3/287.ogg;
嗯……这样的话要是一开始就联络一下。 -vol3/288.ogg;
住在我们家就好了呢。 -vol3/289.ogg;
这样的话打招呼就很方便了。 -vol3/290.ogg;
不不，这就是为了不让去注意这些的母亲的用心啦。 -vol3/291.ogg;
这点也遗传给了安洁。 -vol3/292.ogg;
真是除了真不愧是母亲之外无言形容。 -vol3/293.ogg;
我不会吐槽的。 -vol3/294.ogg;
你倒是来吐槽啊樱乃小姐！ -vol3/295.ogg;
能吐槽女仆小姐是主人的特权。 -vol3/296.ogg;
（没听明白）的安洁就请多多指教了老爷大人。 -vol3/297.ogg;
嗯……好难吐槽。 -vol3/298.ogg;
呜我会反省的。 -vol3/299.ogg;
哈哈代替吐槽就换个话题吧。 -vol3/300.ogg;
女仆部的那件事，正好也难得。 -vol3/301.ogg;
明天想请教一下埃莉小姐呢。 -vol3/302.ogg;
啊好的这我也同意。 -vol3/303.ogg;
女仆部……？ -vol3/304.ogg;
嗯，今天说到了要不干脆创建个这样的社团的话题。 -vol3/305.ogg;
好想加入！安洁是部长吧？ -vol3/306.ogg;
大概会是这样吧。 -vol3/307.ogg;
会成为部长兼指导角色之类的存在吧。 -vol3/308.ogg;
是啊换句话说就是女仆长。 -vol3/309.ogg;
只有女仆中的女仆才能担任的。 -vol3/310.ogg;
对女仆来说只能说是至高无上的。 -vol3/311.ogg;
当然对安洁而言比不上老爷大人的安洁。 -vol3/312.ogg;
不经意的秀恩爱，真是多谢款待了。 -vol3/313.ogg;
嘛总而言之我觉得女仆部的部长就是这种存在。 -vol3/314.ogg;
因此不光是兰华小姐还要从安洁的师父。 -vol3/315.ogg;
母亲大人那里该说是得到许可嘛。 -vol3/316.ogg;
安洁在期待着能着得到认可。 -vol3/317.ogg;
嗯我觉得只要能让安洁认同的方式就是最好的。 -vol3/318.ogg;
要说的话这又和学园长的事情不同，是私事嘛。 -vol3/319.ogg;
十分感谢！那么明天打完招呼后就说这件事吧。 -vol3/320.ogg;
嗯要是能得到好的回答就好了呢。 -vol3/321.ogg;
安洁成为女仆长之路将会如何待续。 -vol3/322.ogg;
诶？美羽小姐母亲大人今天也来了学园吗？ -vol3/323.ogg;
嗯埃莉小姐今天和我一起出了家门。 -vol3/324.ogg;
现在大概在学园长室吧。 -vol3/325.ogg;
为什么呢是昨天和美羽小姐的母亲亲亲我我的那份。 -vol3/326.ogg;
今天要以相同分量和兰华小姐亲亲我我的意思吗。 -vol3/327.ogg;
虽然我觉得现在是处于执行公务的时间。 -vol3/328.ogg;
嘛但是对母亲说这个也没用吧。 -vol3/329.ogg;
说不定说着难得埃莉小姐来了。 -vol3/330.ogg;
喝起来了也说不定。 -vol3/331.ogg;
住口这个情景能想象到感觉真的会是这样。 -vol3/332.ogg;
话说回来是不是该到移动到教室的时候了？ -vol3/333.ogg;
虽然和美羽前辈的兴奋谈话时间结束了很可惜。 -vol3/334.ogg;
啊对哦下节课是特别课程计划来着…… -vol3/335.ogg;
各各位抱歉虽然很突然。 -vol3/336.ogg;
今天的特别课程计划内容发生了变化…… -vol3/337.ogg;
当然是我做的！	。 -vol3/338.ogg;
哈……就算你挺着胸膛自信满满的这么说也有点……啊……。 -vol3/339.ogg;
嘛，每天不光要进行例行公事。 -vol3/340.ogg;
我觉得偶尔要做点加点香辛料的事情才更有意义。 -vol3/341.ogg;
哦！感觉说的像是那么回事。 -vol3/342.ogg;
就是这样今天突然想到了。 -vol3/343.ogg;
就突然决定迎来了特别讲授的老师。 -vol3/344.ogg;
是突然想到事情全都暴露了哦兰华小姐！！ -vol3/345.ogg;
哇哈哈哈原本应该上课的家庭科的老师得泪流满面。 -vol3/346.ogg;
然后……到底会是什么样的课程呢？ -vol3/347.ogg;
直截了当的说就是……女仆的技艺哦！ -vol3/348.ogg;
哈？ -vol3/349.ogg;
进来吧~ -vol3/350.ogg;
失礼了。 -vol3/351.ogg;
这位就是从女仆发源地英格兰而来的。 -vol3/352.ogg;
埃莉诺·史威尔老师！！ -vol3/353.ogg;
叫我埃莉就好。 -vol3/354.ogg;
母母母母亲大人！！ -vol3/355.ogg;
这什么迷之发展！ -vol3/356.ogg;
不是……某种意义上可以理解…… -vol3/357.ogg;
真是啊~连我自己都觉得是个好主意！ -vol3/358.ogg;
为了成为好女人。 -vol3/359.ogg;
让我们学校的孩子听像埃莉这样的家务专家的故事。 -vol3/360.ogg;
就算这么说一般来讲也不会想到的当天就去实施…… -vol3/361.ogg;
因为！必须得在埃莉在日本的时候去做才行。 -vol3/362.ogg;
而且你还正好有教师资格证！ -vol3/363.ogg;
理所当然的为了能够从事governess。 -vol3/364.ogg;
就是家庭教师吧？嘛大概就是这种感觉啦。 -vol3/365.ogg;
看着就像是突然想到的样子…… -vol3/366.ogg;
嘛但是很有趣的样子倒也行。 -vol3/367.ogg;
学园长真的是eventer（？）呢。 -vol3/368.ogg;
那么马上就让她来讲吧。 -vol3/369.ogg;
啊是说女仆的事情。 -vol3/370.ogg;
男生听也没什么用就去操场上体育课吧。 -vol3/371.ogg;
安洁拉上窗帘。 -vol3/372.ogg;
等等！是保健体育还是什么吗！？ -vol3/373.ogg;
只能说是结女也像是变得像是男女合校了吧…… -vol3/374.ogg;
这个年纪玩冰鬼也能让人燃起来呢。 -vol3/375.ogg;
你们在做这种事情吗…… -vol3/376.ogg;
你们那边如何？埃莉小姐的课程？ -vol3/377.ogg;
嗯…… -vol3/378.ogg;
安洁？ -vol3/379.ogg;
啊……没什么。 -vol3/380.ogg;
总结一下就是女仆是职业这回事吧。 -vol3/381.ogg;
大概就是这种感觉吧。 -vol3/382.ogg;
总而言之不过是为了活下去的手段而已……来着吧？ -vol3/383.ogg;
是呢该怎么活下去的事情找到你的活法。 -vol3/384.ogg;
专……真专业啊。 -vol3/385.ogg;
是有所帮助的话题哦。 -vol3/386.ogg;
毕竟还有像那样作为女仆活下去的人在呢。 -vol3/387.ogg;
挺有说服力的。 -vol3/388.ogg;
但是这个话题…… -vol3/389.ogg;
和从安洁身上感受到的印象差距很大呢？ -vol3/390.ogg;
是呢……安洁真的和埃莉小姐是完全相反的呢。 -vol3/391.ogg;
嗯…… -vol3/392.ogg;
安洁？ -vol3/393.ogg;
在……第一次听到母亲说那种事情…… -vol3/394.ogg;
嗯…… -vol3/395.ogg;
该怎么活下去……母亲是怎么活下来的…… -vol3/396.ogg;
什么？陷入思考了呢……安洁…… -vol3/397.ogg;
安洁毕竟是女儿也是同行，肯定有很多想法吧。 -vol3/398.ogg;
真是郑重的寒暄不敢当。 -vol3/399.ogg;
哪有，总而言之我，虽然还没法熟练的说出口。 -vol3/400.ogg;
打算让安洁作为安洁幸福下去那样……爱着她。 -vol3/401.ogg;
啊……主人…… -vol3/402.ogg;
女仆和主人自不用说，但是我和她都不止如此。 -vol3/403.ogg;
好的。 -vol3/404.ogg;
互相都可以将对方的全部包含、编织。 -vol3/405.ogg;
像这样两人跌跌撞撞。 -vol3/406.ogg;
成为了一个漂亮的圆球。 -vol3/407.ogg;
想要成为一个像是雪人一样。 -vol3/408.ogg;
主人！主人！ -vol3/409.ogg;
大概就是这样吧安洁。 -vol3/410.ogg;
是的！彼此的一半和另一半组成了我们。 -vol3/411.ogg;
啊啊真是太棒了，脸擅自红了还形成了笑容了。 -vol3/412.ogg;
我们终于也和母亲大人说了！ -vol3/413.ogg;
失礼了。 -vol3/414.ogg;
没什么我懂了我明白了。 -vol3/415.ogg;
那就这样…… -vol3/416.ogg;
好的我也重新表示一下。 -vol3/417.ogg;
女儿安洁莉娜请务必永远一直陪伴她…… -vol3/418.ogg;
好的。 -vol3/419.ogg;
就是这些。 -vol3/420.ogg;
好的！哈……真的紧张了。 -vol3/421.ogg;
话说回来……母亲大人…… -vol3/422.ogg;
在。 -vol3/423.ogg;
这个话题也暂时告一段落了吧？ -vol3/424.ogg;
是呢。 -vol3/425.ogg;
那么安洁还有一件事要和你说。 -vol3/426.ogg;
什么事？ -vol3/427.ogg;
主人，可以说吗。 -vol3/428.ogg;
嗯。 -vol3/429.ogg;
谢谢。 -vol3/430.ogg;
母亲大人那个…… -vol3/431.ogg;
其实这次安洁……想在学园创建女仆部…… -vol3/432.ogg;
社团活动吗？ -vol3/433.ogg;
是的！为想要成为女仆的学生们。 -vol3/434.ogg;
不是夸下海口，安洁会将母亲教给我的技术教给她们。 -vol3/435.ogg;
就是这样的社团活动。 -vol3/436.ogg;
除此之外将来也会成为帮助学园的组织。 -vol3/437.ogg;
请继续说。 -vol3/438.ogg;
好好的！所以说安洁要是能够成功创建的话。 -vol3/439.ogg;
就会担任类似女仆长的位置。 -vol3/440.ogg;
在此母亲大人安洁想获得认可。 -vol3/441.ogg;
允许我成为教导引导他人。 -vol3/442.ogg;
然后统率他人的女仆。 -vol3/443.ogg;
我想获得师父大人，也是母亲大人的允许。 -vol3/444.ogg;
原来如此。 -vol3/445.ogg;
啊！是的就是这样，母亲大人，务必拜托了！ -vol3/446.ogg;
母亲大人……？ -vol3/447.ogg;
安洁…… -vol3/448.ogg;
在在在！ -vol3/449.ogg;
不可能的。 -vol3/450.ogg;
母……母亲大人…… -vol3/451.ogg;
那么我就到这里了…… -vol3/452.ogg;
啊好…… -vol3/453.ogg;
没有获得认可…… -vol3/454.ogg;
嗯…… -vol3/455.ogg;
主人……我在母亲的眼中还差得远吗…… -vol3/456.ogg;
嗯…… -vol3/457.ogg;
十分抱歉，就算说这种事情主人也只会困扰吧…… -vol3/458.ogg;
没有那回事的！ -vol3/459.ogg;
但是…… -vol3/460.ogg;
你要是看低我可就让人困扰了。 -vol3/461.ogg;
诶？ -vol3/462.ogg;
乖乖~ -vol3/463.ogg;
啊……呜……主人的摸摸…… -vol3/464.ogg;
是哦，你都这么说了那我也不是该觉得困扰的时候。 -vol3/465.ogg;
呜……安洁的心里也暖洋洋的。 -vol3/466.ogg;
觉得不该是消沉的时候了。 -vol3/467.ogg;
哈哈那得再多多摸摸你才行。 -vol3/468.ogg;
明明都没努力还摸摸……虽然很惶恐。 -vol3/469.ogg;
乖~乖~乖~ -vol3/470.ogg;
呜哇！主人速度上升了！啊！ -vol3/471.ogg;
安洁？ -vol3/472.ogg;
啊……十……十分抱歉。 -vol3/473.ogg;
那个……发箍感觉要掉下来了就不由自主地…… -vol3/474.ogg;
啊抱歉抱歉摸的太用力了呢。 -vol3/475.ogg;
我不是不想要也不是讨厌…… -vol3/476.ogg;
心情恢复了吗？ -vol3/477.ogg;
安洁很单纯呢…… -vol3/478.ogg;
被主人疼爱就马上恢复心情了。 -vol3/479.ogg;
那这样如何呢？ -vol3/480.ogg;
啊……主人的抱抱…… -vol3/481.ogg;
这样心情会不会恢复？ -vol3/482.ogg;
不是不是非常奏效……太过奏效那个…… -vol3/483.ogg;
开始放松了呢。 -vol3/484.ogg;
真是十分害羞还有还有…… -vol3/485.ogg;
那个……啾之类的也想要。 -vol3/486.ogg;
真是诚实呢安洁。 -vol3/487.ogg;
嘿嘿……真是让人害羞。 -vol3/488.ogg;
安洁。 -vol3/489.ogg;
啊……呜呜…… -vol3/490.ogg;
（请把神父拖出去打一顿（恼））。 -vol3/491.ogg;
早上好…… -vol3/492.ogg;
早上好！樱乃小姐！ -vol3/493.ogg;
早上好！ -vol3/494.ogg;
你们两个都好快…… -vol3/495.ogg;
不是是被安洁叫醒啦。 -vol3/496.ogg;
抱歉因为充满了干劲不自觉的就！ -vol3/497.ogg;
不如说安洁恢复精神了呢。 -vol3/498.ogg;
是啊！爱的力量是很伟大的！ -vol3/499.ogg;
安洁真的超级喜欢主人！ -vol3/500.ogg;
我就故意不去问昨天你们做了什么了…… -vol3/501.ogg;
那真是谢谢了。 -vol3/502.ogg;
就算消沉也没什么用！ -vol3/503.ogg;
这里首先应该行动起来！樱乃小姐！ -vol3/504.ogg;
嗯。 -vol3/505.ogg;
向母亲大人展示安洁的成长的样子。 -vol3/506.ogg;
得让她觉得真不愧是安洁，真传都已经学会了。 -vol3/507.ogg;
就是这样。 -vol3/508.ogg;
今天放学就和埃莉一起享受安洁作为女仆的一面吧！ -vol3/509.ogg;
实……实况不知道为何就由我八冢万智和。 -vol3/510.ogg;
解说的濑名兰华负责！ -vol3/511.ogg;
又整的和活动一样……这个人真是…… -vol3/512.ogg;
虽说是爱理被叫了就会来郑重参加的原因吧……。 -vol3/513.ogg;
嘛虽然也确实是这样……哈…… -vol3/514.ogg;
因为濑名酱是那种不叫就会闹别扭的类型嘛。 -vol3/515.ogg;
都说不要叫濑名酱了！ -vol3/516.ogg;
嘛~都听说那么有趣的事情了。 -vol3/517.ogg;
